,line,datetime,dim,m_dist,anom_size,bus1,bus2,bus3,bus4,bus5,bus6,bus7,bus8,bus9,hw12,hw23,hw34,hw45,hw56,hw67,hw78,hw89,anom
267,82,2020-05-06 14:54:19.226002,1,0.93483,0,4705,4710,0,0,0,0,0,0,0,541,0,0,0,0,0,0,0,0.0
268,132,2020-05-06 14:54:21.945103,1,0.90115,0,4829,4834,0,0,0,0,0,0,0,252,0,0,0,0,0,0,0,0.0
269,132,2020-05-06 14:54:21.945103,1,0.46668,0,4834,4830,0,0,0,0,0,0,0,350,0,0,0,0,0,0,0,0.0
270,132,2020-05-06 14:54:21.945103,1,0.2471,0,4830,4848,0,0,0,0,0,0,0,511,0,0,0,0,0,0,0,0.0
271,133,2020-05-06 14:54:19.908404,1,0.81225,0,4683,4698,0,0,0,0,0,0,0,965,0,0,0,0,0,0,0,0.0
272,133,2020-05-06 14:54:19.908404,1,3.70329,7,4697,4699,0,0,0,0,0,0,0,1780,0,0,0,0,0,0,0,1.0
273,133,2020-05-06 14:54:19.908404,1,0.09924,0,4698,4684,0,0,0,0,0,0,0,764,0,0,0,0,0,0,0,0.0
275,1,2020-05-06 14:54:20.011427,2,0.5669,0,5529,119,123,0,0,0,0,0,0,700,1144,0,0,0,0,0,0,0.0
276,1,2020-05-06 14:54:20.011427,2,0.88394,0,120,118,116,0,0,0,0,0,0,918,1200,0,0,0,0,0,0,0.0
277,82,2020-05-06 14:54:19.226002,2,1.69874,0,4712,4705,4710,0,0,0,0,0,0,1089,541,0,0,0,0,0,0,0.0
278,132,2020-05-06 14:54:21.945103,2,1.29569,0,4829,4834,4830,0,0,0,0,0,0,252,350,0,0,0,0,0,0,0.0
279,132,2020-05-06 14:54:21.945103,2,0.45762,0,4834,4830,4848,0,0,0,0,0,0,350,511,0,0,0,0,0,0,0.0
280,133,2020-05-06 14:54:19.908404,2,1.31166,0,4683,4698,4684,0,0,0,0,0,0,965,764,0,0,0,0,0,0,0.0
282,132,2020-05-06 14:54:21.945103,3,1.25278,0,4829,4834,4830,4848,0,0,0,0,0,252,350,511,0,0,0,0,0,0.0
284,1,2020-05-06 14:55:12.187225,1,0.84877,0,5529,119,0,0,0,0,0,0,0,666,0,0,0,0,0,0,0,0.0
285,1,2020-05-06 14:55:12.187225,1,0.00647,0,120,118,0,0,0,0,0,0,0,938,0,0,0,0,0,0,0,0.0
286,1,2020-05-06 14:55:12.187225,1,0.48281,0,119,123,0,0,0,0,0,0,0,1096,0,0,0,0,0,0,0,0.0
287,1,2020-05-06 14:55:12.187225,1,0.81415,0,118,116,0,0,0,0,0,0,0,1203,0,0,0,0,0,0,0,0.0
288,82,2020-05-06 14:55:11.334240,1,0.84659,0,4712,4705,0,0,0,0,0,0,0,1099,0,0,0,0,0,0,0,0.0
289,82,2020-05-06 14:55:11.334240,1,1.03495,0,4708,4715,0,0,0,0,0,0,0,1158,0,0,0,0,0,0,0,0.0
290,82,2020-05-06 14:55:11.334240,1,0.96675,0,4705,4710,0,0,0,0,0,0,0,531,0,0,0,0,0,0,0,0.0
291,132,2020-05-06 14:55:12.187225,1,0.90558,0,4829,4834,0,0,0,0,0,0,0,251,0,0,0,0,0,0,0,0.0
292,132,2020-05-06 14:55:12.187225,1,0.31151,0,4834,4830,0,0,0,0,0,0,0,385,0,0,0,0,0,0,0,0.0
293,132,2020-05-06 14:55:12.187225,1,0.10966,0,4830,4848,0,0,0,0,0,0,0,480,0,0,0,0,0,0,0,0.0
294,133,2020-05-06 14:55:10.014771,1,0.67745,0,4683,4698,0,0,0,0,0,0,0,927,0,0,0,0,0,0,0,0.0
295,133,2020-05-06 14:55:10.014771,1,3.50819,8,4697,4699,0,0,0,0,0,0,0,1725,0,0,0,0,0,0,0,1.0
296,133,2020-05-06 14:55:10.014771,1,0.38302,0,4698,4684,0,0,0,0,0,0,0,844,0,0,0,0,0,0,0,0.0
298,1,2020-05-06 14:55:12.187225,2,0.53608,0,5529,119,123,0,0,0,0,0,0,666,1096,0,0,0,0,0,0,0.0
299,1,2020-05-06 14:55:12.187225,2,0.93406,0,120,118,116,0,0,0,0,0,0,938,1203,0,0,0,0,0,0,0.0
300,82,2020-05-06 14:55:11.334240,2,1.73769,0,4712,4705,4710,0,0,0,0,0,0,1099,531,0,0,0,0,0,0,0.0
301,132,2020-05-06 14:55:12.187225,2,1.17643,0,4829,4834,4830,0,0,0,0,0,0,251,385,0,0,0,0,0,0,0.0
302,132,2020-05-06 14:55:12.187225,2,0.31036,0,4834,4830,4848,0,0,0,0,0,0,385,480,0,0,0,0,0,0,0.0
303,133,2020-05-06 14:55:10.014771,2,1.35845,0,4683,4698,4684,0,0,0,0,0,0,927,844,0,0,0,0,0,0,0.0
305,132,2020-05-06 14:55:12.187225,3,1.14812,0,4829,4834,4830,4848,0,0,0,0,0,251,385,480,0,0,0,0,0,0.0
307,1,2020-05-06 14:56:00.330767,1,0.98193,0,5529,119,0,0,0,0,0,0,0,623,0,0,0,0,0,0,0,0.0
308,1,2020-05-06 14:56:00.330767,1,0.00957,0,120,118,0,0,0,0,0,0,0,937,0,0,0,0,0,0,0,0.0
309,1,2020-05-06 14:56:00.330767,1,0.64074,0,119,123,0,0,0,0,0,0,0,1147,0,0,0,0,0,0,0,0.0
310,1,2020-05-06 14:56:00.330767,1,0.78938,0,118,116,0,0,0,0,0,0,0,1195,0,0,0,0,0,0,0,0.0
311,82,2020-05-06 14:56:01.028830,1,0.84021,0,4712,4705,0,0,0,0,0,0,0,1097,0,0,0,0,0,0,0,0.0
312,82,2020-05-06 14:56:01.028830,1,1.04133,0,4708,4715,0,0,0,0,0,0,0,1160,0,0,0,0,0,0,0,0.0
313,82,2020-05-06 14:56:01.028830,1,0.97633,0,4705,4710,0,0,0,0,0,0,0,528,0,0,0,0,0,0,0,0.0
314,132,2020-05-06 14:56:00.093379,1,0.69721,0,4829,4834,0,0,0,0,0,0,0,298,0,0,0,0,0,0,0,0.0
315,132,2020-05-06 14:56:00.093379,1,0.30707,0,4834,4830,0,0,0,0,0,0,0,386,0,0,0,0,0,0,0,0.0
316,132,2020-05-06 14:56:00.093379,1,0.0742,0,4830,4848,0,0,0,0,0,0,0,472,0,0,0,0,0,0,0,0.0
317,133,2020-05-06 14:56:02.113051,1,0.59231,0,4683,4698,0,0,0,0,0,0,0,903,0,0,0,0,0,0,0,0.0
318,133,2020-05-06 14:56:02.113051,1,3.55785,9,4697,4699,0,0,0,0,0,0,0,1739,0,0,0,0,0,0,0,1.0
319,133,2020-05-06 14:56:02.113051,1,0.39012,0,4698,4684,0,0,0,0,0,0,0,846,0,0,0,0,0,0,0,0.0
321,1,2020-05-06 14:56:00.330767,2,0.71015,0,5529,119,123,0,0,0,0,0,0,623,1147,0,0,0,0,0,0,0.0
322,1,2020-05-06 14:56:00.330767,2,0.90499,0,120,118,116,0,0,0,0,0,0,937,1195,0,0,0,0,0,0,0.0
323,82,2020-05-06 14:56:01.028830,2,1.73297,0,4712,4705,4710,0,0,0,0,0,0,1097,528,0,0,0,0,0,0,0.0
324,132,2020-05-06 14:56:00.093379,2,0.96786,0,4829,4834,4830,0,0,0,0,0,0,298,386,0,0,0,0,0,0,0.0
325,132,2020-05-06 14:56:00.093379,2,0.31582,0,4834,4830,4848,0,0,0,0,0,0,386,472,0,0,0,0,0,0,0.0
